locationID,locationLabel,locationDescription,coordinates
Q190131,Saladin Governorate,governorate of Iraq,Point(43.583333333 34.45)
Q28227,Maghreb,region of Northwest Africa,Point(5.0 30.0)
Q225,Bosnia and Herzegovina,sovereign state in Southeast Europe,Point(18.0 44.0)
Q187334,Al Anbar Governorate,governorate in Iraq,Point(41.6 32.9)
Q193268,Kirkuk Governorate,governorate of Iraq,Point(44.133333333 35.366666666)
Q1005,The Gambia,sovereign state in West Africa,Point(-15.5 13.5)
Q851,Saudi Arabia,sovereign state in Western Asia,Point(44.116667 23.716667)
Q31945,Arabian Peninsula,large peninsula in Western Asia,Point(46.0 23.0)
Q188781,Southern District,one of the six districts of Israel,Point(34.83333333 30.66666667)
Q155542,Eastern Anatolia Region,region of Turkey,Point(42.0 40.0)
Q44302,Nagorno-Karabakh,region in the South Caucasus,Point(46.751944 39.815278)
Q16206846,Borkou-Ennedi-Tibesti Prefecture,,Point(19.1167 17.9167)
Q801,Israel,sovereign state in Western Asia,Point(35.0 31.0)
Q5219,Republic of Ingushetia,"federal subject of Russia, republic of Russia",Point(44.816666666 43.166666666)
Q219060,State of Palestine,de jure sovereign state in the Middle East,Point(35.25 32.0)
Q34675,Persian Gulf,extension of the Indian Ocean,Point(52.0 26.0)
Q899,Suez Canal,canal in Egypt between the Mediterranean and Red Seas,Point(32.344166666 30.705)
Q12585,Latin America,region of the Americas where Romance languages are primarily spoken,Point(-68.097391 -1.106889)
Q208270,Federally Administered Tribal Areas,former semi-autonomous tribal region in northwestern Pakistan (1947–2018),Point(70.16666667 33.0)
Q390213,North Eastern Province,Province of Kenya,Point(40.25 1.0)
Q2463859,Jordan Valley,"valley in Israel, Palestine and Jordan",Point(35.57 32.317222)
Q227,Azerbaijan,sovereign state in Western Asia and Eastern Europe,Point(47.7 40.3)
Q1252648,Ras Doumeira,cape,Point(43.1362 12.7129)
Q858,Syria,sovereign state in Western Asia,Point(38.583333 35.216667)
Q2399139,Bangladesh–India border,Separates territories of Bangladesh and India & also known as Line Of Friendship,Point(92.608328703 21.976388888)
Q9648,Falkland Islands,archipelago in the South Atlantic Ocean and British Overseas Territory,Point(-59.0 -51.75)
Q83210,Golan Heights,region in the Levant,Point(35.75 33.0)
Q1196315,San Juan Islands,"island group in Washington State, USA",Point(-123.029251 48.532066)
Q38684,Bay of Bengal,part of the Indian Ocean between South and South East Asia,Point(88.0 15.0)
Q2826232,Portuguese Angola,1575-1975 Portuguese possession in West Africa,Point(102.38333333 2.18333333)
Q483134,Korean Peninsula,peninsula in East Asia,Point(127.0 37.5)
Q456847,Shan State,state of Myanmar,Point(98.0 21.5)
Q1012419,Chamdo,Chinese city,Point(97.17767 31.13749)
Q1650798,Kargil district,"district of Ladakh, India",Point(76.4 34.016666666)
Q43100,Kashmir,"former princely state, now a conflict territory between India, Pakistan and China",Point(76.0 34.5)
Q188736,Bosnia,northern region of Bosnia and Herzegovina,Point(18.41666667 43.86666667)
Q842931,East Pakistan,former province of Pakistan,Point(90.409024 23.80104)
Q137555,Ogaden,geographic region of Ethiopia,Point(44.3 7.28)
Q6500954,Zaire,country in Africa now known as the Democratic Republic of the Congo,Point(15.4 -4.4)
Q645659,Indo-Bangladesh enclaves,enclaves along the Bangladesh–India border,Point(89.086667 26.247778)
Q822,Lebanon,sovereign state in Western Asia,Point(35.766667 33.833333)
Q817,Kuwait,sovereign state in Western Asia,Point(47.6 29.166667)
Q3537754,Transnistria,region between the River Dniester and the Moldova-Ukraine border,
Q974,Democratic Republic of the Congo,sovereign state in Central Africa,Point(23.656 -2.88)
Q180573,South Vietnam,former country in southeast Asia,Point(106.666666666 10.75)
Q35086,South Georgia and the South Sandwich Islands,British overseas territory in the Southern Atlantic Ocean,Point(-36.75 -54.25)
Q424,Cambodia,sovereign state in Southeast Asia,Point(105.0 12.6)
Q889394,Portuguese Mozambique,1498-1975 Portuguese possession in East Africa,Point(32.576388888 -25.915277777)
Q1036,Uganda,sovereign state in East Africa,Point(32.39 1.28)
Q193714,Mandatory Palestine,A former geopolitical entity in Land of Israel occupied from the Ottoman Empire in WW1,Point(35.216667 31.783333)
Q854,Sri Lanka,"sovereign state in South Asia, situated on an island in the Indian Ocean",Point(81.0 7.0)
Q168787,Cabinda Province,province of Angola,Point(12.3 -5.05)
Q185682,French Indochina,Federal state in Southeast Asia,Point(105.85 21.033333333)
Q18758,Malay Peninsula,peninsula in Southeast Asia,Point(100.0 7.0)
Q81483,Levant,geographic and cultural region consisting of the eastern Mediterranean between Anatolia and Egypt,
Q1231,Kosovo,geographical region in Europe (use Q1246 and/or Q403 for state-related properties),Point(21.0 42.5)
Q229,Republic of Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea,Point(33.0 35.0)
Q1045,Somalia,sovereign state in Africa,Point(47.0 6.0)
Q1288434,Condorcanqui Province,"province of Amazonas, Peru",Point(-77.9 -4.583055555)
Q476757,Democratic Republic of Afghanistan,republic in Central Asia between 1978–1992,Point(69.13333333 34.51666667)
Q3089020,Burkina Faso–Mali border,international border,Point(-5.519444444 10.434717592)
Q1033,Nigeria,sovereign state in West Africa,Point(8.0 9.0)
Q52052,Korea Strait,sea passage between Japan and South Korea,Point(129.796666666 34.599444444)
Q5058842,Cenepa River,river in Peru,Point(-78.148055555 -4.651111111)
Q689837,Spanish Sahara,former Spanish territory of Western Sahara,
Q986,Eritrea,sovereign state in the Horn of Africa,Point(38.25 15.483333)
Q1993836,Ecuador–Peru border,divides the territories of Ecuador and Peru,Point(-75.257994 -0.118174)
Q46,Europe,"continent on Earth, mainly on the northeastern quadrant, i.e. north-western Eurasia",Point(7.0 46.0)
Q1366583,Line of Control,demarcation line between India and Pakistan over the disputed region of Kashmir,Point(76.766666666 34.933333333)
Q796,Iraq,sovereign state in Western Asia,Point(43.0 33.0)
Q46733,Darfur,region of Sudan,Point(25.0 13.0)
Q15,Africa,continent on the Earth's northern and southern hemispheres,Point(17.0 1.0)
Q142965,Portuguese Timor,"Portuguese colony, now known as East Timor (Timor-Leste), an independent country",Point(125.583333 -8.55)
Q172640,North Vietnam,Former socialist republic in Southeast Asia,Point(105.85 21.033333)
Q750,Bolivia,sovereign state in South America,Point(-64.991228611 -17.056869611)
Q140646,Kachin State,state of Myanmar,Point(97.5 26.0)
Q916,Angola,sovereign state in Africa,Point(17.35 -12.35)
Q1743993,Kivu,"was a name for a large ""region"" in the Democratic Republic of the Congo",Point(28.0 -2.5)
Q5187,Chechen Republic,"republic of Russia, federal subject of Russia",Point(45.716694444 43.4)
Q79,Egypt,sovereign state in Africa and Asia,Point(29.0 27.0)
Q769,Grenada,island sovereign state in the Caribbean Sea,Point(-61.666667 12.116667)
Q800,Costa Rica,sovereign state in Central America,Point(-84.0 10.0)
Q882739,Blue Nile,river in Africa and tributary of the Nile River,Point(37.408 11.6206)
Q464718,Najran Region,region of Saudi Arabia,Point(44.132222222 17.491666666)
Q1948210,Catatumbo River,river in Venezuela,Point(-71.7106 9.344169444)
Q1044,Sierra Leone,sovereign state in West Africa,Point(-11.916667 8.5)
Q288292,Durand Line,Afghanistan-Pakistan border,
Q617078,People's Republic of Mozambique,former country,
Q41,Greece,sovereign state in Southeast Europe,Point(23.0 38.5)
Q2012050,Donetsk Oblast,an oblast of eastern Ukraine,Point(37.74 48.14)
Q836,Myanmar,sovereign state in Southeast Asia,Point(96.0 22.0)
Q199841,South Yemen,1967–1990 country in western Asia,Point(45.033333333 12.8)
Q837,Nepal,sovereign state in South Asia,Point(84.0 28.0)
Q1014,Liberia,sovereign state in West Africa,Point(-9.75 6.533333)
Q1998401,North Yemen,generic term designating the north-western part of the state of Yemen,Point(44.206666666 15.354722222)
Q733,Paraguay,sovereign state in South America,Point(-58.0 -23.5)
Q4119531,Hīt District,"district in Al Anbar Governorate, Iraq",Point(42.68228 33.73482)
Q215,Slovenia,sovereign state in Central Europe,Point(15.0 46.0)
Q971,Republic of the Congo,sovereign state in Central Africa,Point(15.383330555 -0.75)
Q43,Turkey,sovereign state straddling Southeastern Europe and Western Asia,Point(36.0 39.0)
Q730,Suriname,sovereign state in South America,Point(-56.0 4.0)
Q252,Indonesia,"sovereign state in Southeast Asia situated on more than 17,000 islands",Point(118.0 -2.0)
Q1986207,Moba,"place in Tanganyika, Democratic Republic of the Congo",Point(29.717 -7.067)
Q605714,Donets Basin,region in eastern Ukraine,Point(37.8 48.0)
Q958,South Sudan,sovereign state in Africa,Point(30.0 7.0)
Q96,Mexico,sovereign state in the southern portion of North America,Point(-102.0 23.0)
Q18826,Autonomous Region of Bougainville,autonomous region of Papua New Guinea,Point(155.0 -6.0)
Q967,Burundi,sovereign state in Africa,Point(29.816667 -3.666667)
Q774,Guatemala,sovereign state in Central America,Point(-90.25 15.5)
Q1054184,Khmer Republic,former country,Point(105.6 12.25)
Q131083,Nakhchivan Autonomous Republic,autonomous republic of Azerbaijan,Point(45.5 39.333333333)
Q2638486,Kingdom of Cambodia,1953-1970 monarchy in Southeast Asia,
Q805,Yemen,sovereign state in Western Asia,Point(48.0 15.5)
Q907112,Pridnestrovie,de facto unrecognized state in Eastern Europe that has declared independence from Moldova,Point(29.624444444 46.842222222)
Q1041,Senegal,sovereign state in Western Africa,Point(-14.283333 14.366667)
Q1037,Rwanda,sovereign state in Africa,Point(29.873888888 -1.940277777)
Q863,Tajikistan,sovereign state in Central Asia,Point(71.366667 38.583333)
Q870055,Kingdom of Laos,former country,Point(102.6 17.966666666)
Q230,Georgia,Country in the Caucasus,Point(43.733330555 42.016669444)
Q2523428,Syunik Province,province of Armenia,Point(46.25 39.25)
Q912,Mali,sovereign state in West Africa,Point(-4.0 17.0)
Q1008,Ivory Coast,sovereign state in Africa,Point(-6.0 8.0)
Q217169,Rhodesia,former country in Africa,Point(31.029722 17.863889)
Q739,Colombia,sovereign state in South America,Point(-74.0 4.0)
Q810,Jordan,sovereign state in Western Asia,Point(36.5 31.2)
Q171965,Luhansk Oblast,oblast in Ukraine,Point(39.02 48.92)
