location,locationLabel,locationDescription,locationCountry,locationCountryLabel,locationID,locationCountryID
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q878,United Arab Emirates,Q31945,Q878
http://www.wikidata.org/entity/Q224,Croatia,sovereign state in Central Europe,http://www.wikidata.org/entity/Q224,Croatia,Q224,Q224
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q810,Jordan,Q31945,Q810
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q805,Yemen,Q31945,Q805
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q842,Oman,Q31945,Q842
http://www.wikidata.org/entity/Q5219,Republic of Ingushetia,"federal subject of Russia, republic of Russia",http://www.wikidata.org/entity/Q159,Russia,Q5219,Q159
http://www.wikidata.org/entity/Q796,Iraq,sovereign state in Western Asia,http://www.wikidata.org/entity/Q796,Iraq,Q796,Q796
http://www.wikidata.org/entity/Q1480109,Southern Lebanon,geographic region,http://www.wikidata.org/entity/Q822,Lebanon,Q1480109,Q822
http://www.wikidata.org/entity/Q81483,Levant,geographic and cultural region consisting of the eastern Mediterranean between Anatolia and Egypt,,,Q81483,
http://www.wikidata.org/entity/Q39760,Gaza Strip,region on the eastern coast of the Mediterranean Sea,http://www.wikidata.org/entity/Q219060,State of Palestine,Q39760,Q219060
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q817,Kuwait,Q31945,Q817
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q846,Qatar,Q31945,Q846
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q851,Saudi Arabia,Q31945,Q851
http://www.wikidata.org/entity/Q31945,Arabian Peninsula,large peninsula in Western Asia,http://www.wikidata.org/entity/Q796,Iraq,Q31945,Q796
http://www.wikidata.org/entity/Q801,Israel,sovereign state in Western Asia,http://www.wikidata.org/entity/Q801,Israel,Q801,Q801
http://www.wikidata.org/entity/Q5118,Republic of Dagestan,"federal subject of Russia, republic of Russia",http://www.wikidata.org/entity/Q159,Russia,Q5118,Q159
http://www.wikidata.org/entity/Q52052,Korea Strait,sea passage between Japan and South Korea,http://www.wikidata.org/entity/Q17,Japan,Q52052,Q17
http://www.wikidata.org/entity/Q483134,Korean Peninsula,peninsula in East Asia,http://www.wikidata.org/entity/Q884,South Korea,Q483134,Q884
http://www.wikidata.org/entity/Q899,Suez Canal,canal in Egypt between the Mediterranean and Red Seas,http://www.wikidata.org/entity/Q79,Egypt,Q899,Q79
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,sovereign state in Central Africa,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Q974,Q974
http://www.wikidata.org/entity/Q52052,Korea Strait,sea passage between Japan and South Korea,http://www.wikidata.org/entity/Q884,South Korea,Q52052,Q884
http://www.wikidata.org/entity/Q9648,Falkland Islands,archipelago in the South Atlantic Ocean and British Overseas Territory,http://www.wikidata.org/entity/Q145,United Kingdom,Q9648,Q145
http://www.wikidata.org/entity/Q208270,Federally Administered Tribal Areas,former semi-autonomous tribal region in northwestern Pakistan (1947–2018),http://www.wikidata.org/entity/Q843,Pakistan,Q208270,Q843
http://www.wikidata.org/entity/Q219060,State of Palestine,de jure sovereign state in the Middle East,http://www.wikidata.org/entity/Q219060,State of Palestine,Q219060,Q219060
http://www.wikidata.org/entity/Q483134,Korean Peninsula,peninsula in East Asia,http://www.wikidata.org/entity/Q423,North Korea,Q483134,Q423
http://www.wikidata.org/entity/Q842931,East Pakistan,former province of Pakistan,http://www.wikidata.org/entity/Q843,Pakistan,Q842931,Q843
http://www.wikidata.org/entity/Q155638,Southeastern Anatolia Region,region of Turkey,http://www.wikidata.org/entity/Q43,Turkey,Q155638,Q43
http://www.wikidata.org/entity/Q227,Azerbaijan,sovereign state in Western Asia and Eastern Europe,http://www.wikidata.org/entity/Q227,Azerbaijan,Q227,Q227
http://www.wikidata.org/entity/Q79,Egypt,sovereign state in Africa and Asia,http://www.wikidata.org/entity/Q79,Egypt,Q79,Q79
http://www.wikidata.org/entity/Q1650798,Kargil district,"district of Ladakh, India",http://www.wikidata.org/entity/Q668,India,Q1650798,Q668
http://www.wikidata.org/entity/Q66812617,Q66812617,,http://www.wikidata.org/entity/Q219060,State of Palestine,Q66812617,Q219060
http://www.wikidata.org/entity/Q390213,North Eastern Province,Province of Kenya,http://www.wikidata.org/entity/Q114,Kenya,Q390213,Q114
http://www.wikidata.org/entity/Q6500954,Zaire,country in Africa now known as the Democratic Republic of the Congo,,,Q6500954,
http://www.wikidata.org/entity/Q3089020,Burkina Faso–Mali border,international border,http://www.wikidata.org/entity/Q912,Mali,Q3089020,Q912
http://www.wikidata.org/entity/Q750,Bolivia,sovereign state in South America,http://www.wikidata.org/entity/Q750,Bolivia,Q750,Q750
http://www.wikidata.org/entity/Q3089020,Burkina Faso–Mali border,international border,http://www.wikidata.org/entity/Q965,Burkina Faso,Q3089020,Q965
http://www.wikidata.org/entity/Q46,Europe,"continent on Earth, mainly on the northeastern quadrant, i.e. north-western Eurasia",,,Q46,
http://www.wikidata.org/entity/Q1231,Kosovo,geographical region in Europe (use Q1246 and/or Q403 for state-related properties),,,Q1231,
http://www.wikidata.org/entity/Q2635466,India–Pakistan border,separates territories of India and Pakistan,http://www.wikidata.org/entity/Q843,Pakistan,Q2635466,Q843
http://www.wikidata.org/entity/Q2635466,India–Pakistan border,separates territories of India and Pakistan,http://www.wikidata.org/entity/Q668,India,Q2635466,Q668
http://www.wikidata.org/entity/Q1252648,Ras Doumeira,cape,http://www.wikidata.org/entity/Q977,Djibouti,Q1252648,Q977
http://www.wikidata.org/entity/Q36704,Yugoslavia,1918–1992 country in Southeastern and Central Europe,http://www.wikidata.org/entity/Q36704,Yugoslavia,Q36704,Q36704
http://www.wikidata.org/entity/Q96,Mexico,sovereign state in the southern portion of North America,http://www.wikidata.org/entity/Q96,Mexico,Q96,Q96
http://www.wikidata.org/entity/Q262,Algeria,sovereign state in North Africa,http://www.wikidata.org/entity/Q262,Algeria,Q262,Q262
http://www.wikidata.org/entity/Q171965,Luhansk Oblast,oblast in Ukraine,http://www.wikidata.org/entity/Q212,Ukraine,Q171965,Q212
http://www.wikidata.org/entity/Q193268,Kirkuk Governorate,governorate of Iraq,http://www.wikidata.org/entity/Q796,Iraq,Q193268,Q796
http://www.wikidata.org/entity/Q38684,Bay of Bengal,part of the Indian Ocean between South and South East Asia,,,Q38684,
http://www.wikidata.org/entity/Q605714,Donets Basin,region in eastern Ukraine,http://www.wikidata.org/entity/Q212,Ukraine,Q605714,Q212
http://www.wikidata.org/entity/Q657,Chad,sovereign state in central Africa,http://www.wikidata.org/entity/Q657,Chad,Q657,Q657
http://www.wikidata.org/entity/Q187334,Al Anbar Governorate,governorate in Iraq,http://www.wikidata.org/entity/Q796,Iraq,Q187334,Q796
http://www.wikidata.org/entity/Q115,Ethiopia,Country in East Africa,http://www.wikidata.org/entity/Q115,Ethiopia,Q115,Q115
http://www.wikidata.org/entity/Q889394,Portuguese Mozambique,1498-1975 Portuguese possession in East Africa,,,Q889394,
http://www.wikidata.org/entity/Q424,Cambodia,sovereign state in Southeast Asia,http://www.wikidata.org/entity/Q424,Cambodia,Q424,Q424
http://www.wikidata.org/entity/Q810,Jordan,sovereign state in Western Asia,http://www.wikidata.org/entity/Q810,Jordan,Q810,Q810
http://www.wikidata.org/entity/Q1033,Nigeria,sovereign state in West Africa,http://www.wikidata.org/entity/Q1033,Nigeria,Q1033,Q1033
http://www.wikidata.org/entity/Q16206846,Borkou-Ennedi-Tibesti Prefecture,,http://www.wikidata.org/entity/Q657,Chad,Q16206846,Q657
http://www.wikidata.org/entity/Q66812617,Q66812617,,http://www.wikidata.org/entity/Q801,Israel,Q66812617,Q801
http://www.wikidata.org/entity/Q399,Armenia,sovereign state in the South Caucasus region of Eurasia,http://www.wikidata.org/entity/Q399,Armenia,Q399,Q399
http://www.wikidata.org/entity/Q235563,Al-Raqqah Governorate,governorate of Syria,http://www.wikidata.org/entity/Q858,Syria,Q235563,Q858
http://www.wikidata.org/entity/Q3537754,Transnistria,region between the River Dniester and the Moldova-Ukraine border,http://www.wikidata.org/entity/Q217,Moldova,Q3537754,Q217
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,sovereign state in Western Africa,http://www.wikidata.org/entity/Q1007,Guinea-Bissau,Q1007,Q1007
http://www.wikidata.org/entity/Q46733,Darfur,region of Sudan,http://www.wikidata.org/entity/Q1049,Sudan,Q46733,Q1049
http://www.wikidata.org/entity/Q986,Eritrea,sovereign state in the Horn of Africa,http://www.wikidata.org/entity/Q986,Eritrea,Q986,Q986
http://www.wikidata.org/entity/Q1045,Somalia,sovereign state in Africa,http://www.wikidata.org/entity/Q1045,Somalia,Q1045,Q1045
http://www.wikidata.org/entity/Q1366583,Line of Control,demarcation line between India and Pakistan over the disputed region of Kashmir,,,Q1366583,
http://www.wikidata.org/entity/Q231151,Tindouf Province,province of Algeria,http://www.wikidata.org/entity/Q262,Algeria,Q231151,Q262
http://www.wikidata.org/entity/Q2463859,Jordan Valley,"valley in Israel, Palestine and Jordan",http://www.wikidata.org/entity/Q810,Jordan,Q2463859,Q810
http://www.wikidata.org/entity/Q854,Sri Lanka,"sovereign state in South Asia, situated on an island in the Indian Ocean",http://www.wikidata.org/entity/Q854,Sri Lanka,Q854,Q854
http://www.wikidata.org/entity/Q689837,Spanish Sahara,former Spanish territory of Western Sahara,http://www.wikidata.org/entity/Q29,Spain,Q689837,Q29
http://www.wikidata.org/entity/Q1036,Uganda,sovereign state in East Africa,http://www.wikidata.org/entity/Q1036,Uganda,Q1036,Q1036
http://www.wikidata.org/entity/Q155542,Eastern Anatolia Region,region of Turkey,http://www.wikidata.org/entity/Q43,Turkey,Q155542,Q43
http://www.wikidata.org/entity/Q1196315,San Juan Islands,"island group in Washington State, USA",http://www.wikidata.org/entity/Q30,United States of America,Q1196315,Q30
http://www.wikidata.org/entity/Q189352,Nineveh Governorate,governorate of Iraq,http://www.wikidata.org/entity/Q796,Iraq,Q189352,Q796
http://www.wikidata.org/entity/Q2012050,Donetsk Oblast,an oblast of eastern Ukraine,http://www.wikidata.org/entity/Q212,Ukraine,Q2012050,Q212
http://www.wikidata.org/entity/Q28227,Maghreb,region of Northwest Africa,,,Q28227,
http://www.wikidata.org/entity/Q2399139,Bangladesh–India border,Separates territories of Bangladesh and India & also known as Line Of Friendship,http://www.wikidata.org/entity/Q902,Bangladesh,Q2399139,Q902
http://www.wikidata.org/entity/Q2399139,Bangladesh–India border,Separates territories of Bangladesh and India & also known as Line Of Friendship,http://www.wikidata.org/entity/Q668,India,Q2399139,Q668
http://www.wikidata.org/entity/Q168787,Cabinda Province,province of Angola,http://www.wikidata.org/entity/Q916,Angola,Q168787,Q916
http://www.wikidata.org/entity/Q44302,Nagorno-Karabakh,region in the South Caucasus,http://www.wikidata.org/entity/Q244165,Artsakh,Q44302,Q244165
http://www.wikidata.org/entity/Q58705,Arabian Sea,region of the northern Indian Ocean,http://www.wikidata.org/entity/Q668,India,Q58705,Q668
http://www.wikidata.org/entity/Q288292,Durand Line,Afghanistan-Pakistan border,http://www.wikidata.org/entity/Q889,Afghanistan,Q288292,Q889
http://www.wikidata.org/entity/Q5058842,Cenepa River,river in Peru,http://www.wikidata.org/entity/Q419,Peru,Q5058842,Q419
http://www.wikidata.org/entity/Q137555,Ogaden,geographic region of Ethiopia,http://www.wikidata.org/entity/Q115,Ethiopia,Q137555,Q115
http://www.wikidata.org/entity/Q288292,Durand Line,Afghanistan-Pakistan border,http://www.wikidata.org/entity/Q843,Pakistan,Q288292,Q843
http://www.wikidata.org/entity/Q185682,French Indochina,Federal state in Southeast Asia,http://www.wikidata.org/entity/Q505503,Cochinchina,Q185682,Q505503
http://www.wikidata.org/entity/Q185682,French Indochina,Federal state in Southeast Asia,http://www.wikidata.org/entity/Q622778,Tonkin,Q185682,Q622778
http://www.wikidata.org/entity/Q23334,Abkhazia,geographic region in Georgia,http://www.wikidata.org/entity/Q31354462,Republic of Abkhazia,Q23334,Q31354462
http://www.wikidata.org/entity/Q1743993,Kivu,"was a name for a large ""region"" in the Democratic Republic of the Congo",http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Q1743993,Q974
http://www.wikidata.org/entity/Q3088996,Syria–Turkey border,international border,http://www.wikidata.org/entity/Q43,Turkey,Q3088996,Q43
http://www.wikidata.org/entity/Q1005,The Gambia,sovereign state in West Africa,http://www.wikidata.org/entity/Q1005,The Gambia,Q1005,Q1005
http://www.wikidata.org/entity/Q48,Asia,"continent, mainly on the Earth's northeastern quadrant",,,Q48,
http://www.wikidata.org/entity/Q11708,Southeast Asia,subregion of Asia,,,Q11708,
http://www.wikidata.org/entity/Q185682,French Indochina,Federal state in Southeast Asia,http://www.wikidata.org/entity/Q10828323,Annam,Q185682,Q10828323
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,sovereign state in Southeast Europe,http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,Q225,Q225
http://www.wikidata.org/entity/Q1288434,Condorcanqui Province,"province of Amazonas, Peru",http://www.wikidata.org/entity/Q419,Peru,Q1288434,Q419
http://www.wikidata.org/entity/Q3088996,Syria–Turkey border,international border,http://www.wikidata.org/entity/Q858,Syria,Q3088996,Q858
http://www.wikidata.org/entity/Q185682,French Indochina,Federal state in Southeast Asia,http://www.wikidata.org/entity/Q3173090,French Protectorate of Cambodia,Q185682,Q3173090
http://www.wikidata.org/entity/Q792,El Salvador,sovereign state in Central America,http://www.wikidata.org/entity/Q792,El Salvador,Q792,Q792
http://www.wikidata.org/entity/Q190131,Saladin Governorate,governorate of Iraq,http://www.wikidata.org/entity/Q796,Iraq,Q190131,Q796
http://www.wikidata.org/entity/Q172640,North Vietnam,Former socialist republic in Southeast Asia,,,Q172640,
http://www.wikidata.org/entity/Q43,Turkey,sovereign state straddling Southeastern Europe and Western Asia,http://www.wikidata.org/entity/Q43,Turkey,Q43,Q43
http://www.wikidata.org/entity/Q4119531,Hīt District,"district in Al Anbar Governorate, Iraq",http://www.wikidata.org/entity/Q796,Iraq,Q4119531,Q796
http://www.wikidata.org/entity/Q916,Angola,sovereign state in Africa,http://www.wikidata.org/entity/Q916,Angola,Q916,Q916
http://www.wikidata.org/entity/Q185682,French Indochina,Federal state in Southeast Asia,http://www.wikidata.org/entity/Q1320058,French Protectorate of Laos,Q185682,Q1320058
http://www.wikidata.org/entity/Q140646,Kachin State,state of Myanmar,http://www.wikidata.org/entity/Q836,Myanmar,Q140646,Q836
http://www.wikidata.org/entity/Q23334,Abkhazia,geographic region in Georgia,http://www.wikidata.org/entity/Q230,Georgia,Q23334,Q230
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,http://www.wikidata.org/entity/Q858,Syria,Q858,Q858
http://www.wikidata.org/entity/Q185682,French Indochina,Federal state in Southeast Asia,http://www.wikidata.org/entity/Q1506615,Guangzhouwan,Q185682,Q1506615
http://www.wikidata.org/entity/Q18758,Malay Peninsula,peninsula in Southeast Asia,http://www.wikidata.org/entity/Q869,Thailand,Q18758,Q869
http://www.wikidata.org/entity/Q1016,Libya,sovereign state in north Africa,http://www.wikidata.org/entity/Q1016,Libya,Q1016,Q1016
http://www.wikidata.org/entity/Q18758,Malay Peninsula,peninsula in Southeast Asia,http://www.wikidata.org/entity/Q833,Malaysia,Q18758,Q833
http://www.wikidata.org/entity/Q15,Africa,continent on the Earth's northern and southern hemispheres,,,Q15,
http://www.wikidata.org/entity/Q12585,Latin America,region of the Americas where Romance languages are primarily spoken,,,Q12585,
http://www.wikidata.org/entity/Q18758,Malay Peninsula,peninsula in Southeast Asia,http://www.wikidata.org/entity/Q334,Singapore,Q18758,Q334
http://www.wikidata.org/entity/Q456847,Shan State,state of Myanmar,http://www.wikidata.org/entity/Q836,Myanmar,Q456847,Q836
http://www.wikidata.org/entity/Q43100,Kashmir,"former princely state, now a conflict territory between India, Pakistan and China",http://www.wikidata.org/entity/Q148,People's Republic of China,Q43100,Q148
http://www.wikidata.org/entity/Q645659,Indo-Bangladesh enclaves,enclaves along the Bangladesh–India border,http://www.wikidata.org/entity/Q902,Bangladesh,Q645659,Q902
http://www.wikidata.org/entity/Q18758,Malay Peninsula,peninsula in Southeast Asia,http://www.wikidata.org/entity/Q836,Myanmar,Q18758,Q836
http://www.wikidata.org/entity/Q43100,Kashmir,"former princely state, now a conflict territory between India, Pakistan and China",http://www.wikidata.org/entity/Q843,Pakistan,Q43100,Q843
http://www.wikidata.org/entity/Q645659,Indo-Bangladesh enclaves,enclaves along the Bangladesh–India border,http://www.wikidata.org/entity/Q668,India,Q645659,Q668
http://www.wikidata.org/entity/Q43100,Kashmir,"former princely state, now a conflict territory between India, Pakistan and China",http://www.wikidata.org/entity/Q668,India,Q43100,Q668
http://www.wikidata.org/entity/Q2826232,Portuguese Angola,1575-1975 Portuguese possession in West Africa,http://www.wikidata.org/entity/Q916,Angola,Q2826232,Q916
http://www.wikidata.org/entity/Q205047,Kurdistan Region,Kurdish autonomous Region in northern Iraq,http://www.wikidata.org/entity/Q796,Iraq,Q205047,Q796
http://www.wikidata.org/entity/Q1993836,Ecuador–Peru border,divides the territories of Ecuador and Peru,http://www.wikidata.org/entity/Q419,Peru,Q1993836,Q419
http://www.wikidata.org/entity/Q1993836,Ecuador–Peru border,divides the territories of Ecuador and Peru,http://www.wikidata.org/entity/Q736,Ecuador,Q1993836,Q736
http://www.wikidata.org/entity/Q805,Yemen,sovereign state in Western Asia,http://www.wikidata.org/entity/Q805,Yemen,Q805,Q805
http://www.wikidata.org/entity/Q907112,Pridnestrovie,de facto unrecognized state in Eastern Europe that has declared independence from Moldova,http://www.wikidata.org/entity/Q217,Moldova,Q907112,Q217
http://www.wikidata.org/entity/Q617078,People's Republic of Mozambique,former country,http://www.wikidata.org/entity/Q1029,Mozambique,Q617078,Q1029
http://www.wikidata.org/entity/Q1986207,Moba,"place in Tanganyika, Democratic Republic of the Congo",http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Q1986207,Q974
http://www.wikidata.org/entity/Q252,Indonesia,"sovereign state in Southeast Asia situated on more than 17,000 islands",http://www.wikidata.org/entity/Q252,Indonesia,Q252,Q252
http://www.wikidata.org/entity/Q1014,Liberia,sovereign state in West Africa,http://www.wikidata.org/entity/Q1014,Liberia,Q1014,Q1014
http://www.wikidata.org/entity/Q882739,Blue Nile,river in Africa and tributary of the Nile River,http://www.wikidata.org/entity/Q1049,Sudan,Q882739,Q1049
http://www.wikidata.org/entity/Q1037,Rwanda,sovereign state in Africa,http://www.wikidata.org/entity/Q1037,Rwanda,Q1037,Q1037
http://www.wikidata.org/entity/Q882739,Blue Nile,river in Africa and tributary of the Nile River,http://www.wikidata.org/entity/Q115,Ethiopia,Q882739,Q115
http://www.wikidata.org/entity/Q199841,South Yemen,1967–1990 country in western Asia,,,Q199841,
http://www.wikidata.org/entity/Q769,Grenada,island sovereign state in the Caribbean Sea,http://www.wikidata.org/entity/Q769,Grenada,Q769,Q769
http://www.wikidata.org/entity/Q1008,Ivory Coast,sovereign state in Africa,http://www.wikidata.org/entity/Q1008,Ivory Coast,Q1008,Q1008
http://www.wikidata.org/entity/Q217169,Rhodesia,former country in Africa,http://www.wikidata.org/entity/Q217169,Rhodesia,Q217169,Q217169
http://www.wikidata.org/entity/Q131083,Nakhchivan Autonomous Republic,autonomous republic of Azerbaijan,http://www.wikidata.org/entity/Q227,Azerbaijan,Q131083,Q227
http://www.wikidata.org/entity/Q774,Guatemala,sovereign state in Central America,http://www.wikidata.org/entity/Q774,Guatemala,Q774,Q774
http://www.wikidata.org/entity/Q229,Republic of Cyprus,sovereign state situated on an island in the Eastern Mediterranean Sea,http://www.wikidata.org/entity/Q229,Republic of Cyprus,Q229,Q229
http://www.wikidata.org/entity/Q967,Burundi,sovereign state in Africa,http://www.wikidata.org/entity/Q967,Burundi,Q967,Q967
http://www.wikidata.org/entity/Q41,Greece,sovereign state in Southeast Europe,http://www.wikidata.org/entity/Q41,Greece,Q41,Q41
http://www.wikidata.org/entity/Q142965,Portuguese Timor,"Portuguese colony, now known as East Timor (Timor-Leste), an independent country",http://www.wikidata.org/entity/Q574,East Timor,Q142965,Q574
http://www.wikidata.org/entity/Q1041,Senegal,sovereign state in Western Africa,http://www.wikidata.org/entity/Q1041,Senegal,Q1041,Q1041
http://www.wikidata.org/entity/Q1998401,North Yemen,generic term designating the north-western part of the state of Yemen,http://www.wikidata.org/entity/Q805,Yemen,Q1998401,Q805
http://www.wikidata.org/entity/Q870055,Kingdom of Laos,former country,,,Q870055,
http://www.wikidata.org/entity/Q733,Paraguay,sovereign state in South America,http://www.wikidata.org/entity/Q733,Paraguay,Q733,Q733
http://www.wikidata.org/entity/Q1948210,Catatumbo River,river in Venezuela,http://www.wikidata.org/entity/Q717,Venezuela,Q1948210,Q717
http://www.wikidata.org/entity/Q837,Nepal,sovereign state in South Asia,http://www.wikidata.org/entity/Q837,Nepal,Q837,Q837
http://www.wikidata.org/entity/Q1948210,Catatumbo River,river in Venezuela,http://www.wikidata.org/entity/Q739,Colombia,Q1948210,Q739
http://www.wikidata.org/entity/Q464718,Najran Region,region of Saudi Arabia,http://www.wikidata.org/entity/Q851,Saudi Arabia,Q464718,Q851
http://www.wikidata.org/entity/Q18826,Autonomous Region of Bougainville,autonomous region of Papua New Guinea,http://www.wikidata.org/entity/Q691,Papua New Guinea,Q18826,Q691
http://www.wikidata.org/entity/Q800,Costa Rica,sovereign state in Central America,http://www.wikidata.org/entity/Q800,Costa Rica,Q800,Q800
http://www.wikidata.org/entity/Q2638486,Kingdom of Cambodia,1953-1970 monarchy in Southeast Asia,,,Q2638486,
http://www.wikidata.org/entity/Q958,South Sudan,sovereign state in Africa,http://www.wikidata.org/entity/Q958,South Sudan,Q958,Q958
http://www.wikidata.org/entity/Q863,Tajikistan,sovereign state in Central Asia,http://www.wikidata.org/entity/Q863,Tajikistan,Q863,Q863
http://www.wikidata.org/entity/Q1054184,Khmer Republic,former country,,,Q1054184,
http://www.wikidata.org/entity/Q912,Mali,sovereign state in West Africa,http://www.wikidata.org/entity/Q912,Mali,Q912,Q912
http://www.wikidata.org/entity/Q836,Myanmar,sovereign state in Southeast Asia,http://www.wikidata.org/entity/Q836,Myanmar,Q836,Q836
http://www.wikidata.org/entity/Q215,Slovenia,sovereign state in Central Europe,http://www.wikidata.org/entity/Q215,Slovenia,Q215,Q215
http://www.wikidata.org/entity/Q1044,Sierra Leone,sovereign state in West Africa,http://www.wikidata.org/entity/Q1044,Sierra Leone,Q1044,Q1044
http://www.wikidata.org/entity/Q739,Colombia,sovereign state in South America,http://www.wikidata.org/entity/Q739,Colombia,Q739,Q739
http://www.wikidata.org/entity/Q2523428,Syunik Province,province of Armenia,http://www.wikidata.org/entity/Q399,Armenia,Q2523428,Q399
http://www.wikidata.org/entity/Q230,Georgia,Country in the Caucasus,http://www.wikidata.org/entity/Q230,Georgia,Q230,Q230
http://www.wikidata.org/entity/Q1012419,Chamdo,Chinese city,http://www.wikidata.org/entity/Q148,People's Republic of China,Q1012419,Q148
http://www.wikidata.org/entity/Q971,Republic of the Congo,sovereign state in Central Africa,http://www.wikidata.org/entity/Q971,Republic of the Congo,Q971,Q971
http://www.wikidata.org/entity/Q730,Suriname,sovereign state in South America,http://www.wikidata.org/entity/Q730,Suriname,Q730,Q730
